iter	Passed	Remaining
0	1	126
1	2	134
2	4	133
3	5	125
4	6	126
5	8	125
6	9	122
7	9	114
8	10	107
9	11	102
10	12	97
11	12	92
12	13	89
13	13	85
14	14	82
15	15	79
16	16	79
17	16	76
18	17	74
19	18	72
20	18	70
21	19	68
22	20	67
23	20	65
24	21	64
25	21	62
26	22	61
27	23	59
28	23	58
29	24	57
30	25	56
31	25	54
32	26	53
33	27	52
34	27	51
35	28	50
36	29	49
37	29	48
38	30	47
39	31	46
40	31	45
41	31	44
42	32	43
43	33	42
44	33	41
45	34	40
46	35	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	38	34
53	39	33
54	39	32
55	40	31
56	41	31
57	42	30
58	42	29
59	43	28
60	44	28
61	45	27
62	45	26
63	46	26
64	47	25
65	48	24
66	48	24
67	49	23
68	50	22
69	51	21
70	52	21
71	52	20
72	53	19
73	54	19
74	55	18
75	55	17
76	56	16
77	57	16
78	58	15
79	58	14
80	59	13
81	60	13
82	60	12
83	61	11
84	62	10
85	62	10
86	63	9
87	64	8
88	65	8
89	65	7
90	66	6
91	67	5
92	67	5
93	68	4
94	69	3
95	69	2
96	70	2
97	71	1
98	71	0
99	72	0
