iter	Passed	Remaining
0	188	188125
1	192	95829
2	193	64252
3	194	48468
4	196	39170
5	198	32961
6	200	28507
7	204	25323
8	206	22711
9	208	20651
10	211	18993
11	213	17547
12	214	16307
13	218	15385
14	220	14485
15	222	13696
16	224	13004
17	226	12359
18	228	11782
19	231	11364
20	234	10909
21	235	10478
22	237	10082
23	239	9727
24	241	9400
25	245	9194
26	248	8938
27	249	8677
28	251	8425
29	253	8191
30	255	7978
31	258	7820
32	261	7649
33	263	7474
34	264	7305
35	266	7143
36	268	6992
37	271	6866
38	273	6751
39	275	6621
40	278	6505
41	280	6389
42	281	6272
43	287	6242
44	289	6135
45	290	6025
46	292	5921
47	293	5819
48	295	5744
49	301	5730
50	305	5688
51	307	5614
52	309	5530
53	310	5448
54	312	5375
55	320	5396
56	321	5319
57	322	5239
58	325	5186
59	327	5124
60	329	5064
61	330	5002
62	333	4954
63	334	4894
64	355	5113
65	360	5107
66	362	5050
67	366	5017
68	368	4977
69	372	4944
70	374	4901
71	381	4919
72	393	4999
73	396	4960
74	398	4912
75	400	4870
76	402	4824
77	404	4787
78	409	4779
79	413	4752
80	415	4712
81	418	4684
82	419	4633
83	423	4621
84	426	4586
85	431	4587
86	434	4554
87	439	4556
88	441	4520
89	454	4591
90	456	4557
91	459	4530
92	461	4499
93	463	4464
94	465	4431
95	469	4422
96	471	4389
97	473	4359
98	475	4329
99	477	4298
100	479	4267
101	483	4258
102	485	4230
103	493	4249
104	495	4222
105	497	4192
106	499	4171
107	502	4149
108	504	4124
109	506	4101
110	511	4097
111	513	4068
112	514	4037
113	515	4008
114	516	3977
115	517	3947
116	518	3915
117	519	3885
118	520	3856
119	521	3827
120	523	3801
121	525	3782
122	526	3754
123	528	3730
124	529	3705
125	530	3680
126	531	3653
127	532	3628
128	533	3604
129	534	3579
130	535	3554
131	536	3530
132	540	3520
133	541	3497
134	542	3474
135	543	3452
136	544	3429
137	545	3408
138	546	3386
139	547	3365
140	548	3344
141	549	3320
142	550	3299
143	551	3279
144	554	3270
145	556	3253
146	557	3233
147	558	3214
148	559	3195
149	560	3176
150	561	3156
151	562	3138
152	563	3119
153	564	3101
154	565	3083
155	569	3081
156	571	3068
157	572	3053
158	574	3038
159	575	3021
160	576	3002
161	577	2985
162	578	2969
163	579	2953
164	580	2937
165	582	2928
166	585	2918
167	586	2906
168	588	2895
169	591	2886
170	593	2875
171	598	2880
172	599	2867
173	601	2856
174	603	2843
175	605	2832
176	606	2821
177	608	2809
178	612	2808
179	614	2797
180	616	2787
181	617	2776
182	619	2767
183	621	2756
184	627	2765
185	629	2755
186	631	2746
187	634	2741
188	637	2735
189	640	2731
190	642	2723
191	645	2716
192	648	2710
193	650	2702
194	652	2693
195	654	2684
196	672	2742
197	674	2733
198	677	2726
199	679	2718
200	681	2708
201	683	2698
202	685	2689
203	687	2681
204	689	2672
205	691	2664
206	693	2656
207	695	2646
208	699	2647
209	702	2641
210	703	2632
211	705	2623
212	707	2614
213	709	2605
214	711	2596
215	716	2599
216	717	2590
217	720	2583
218	721	2574
219	723	2565
220	725	2555
221	729	2557
222	731	2549
223	737	2555
224	739	2546
225	743	2547
226	746	2540
227	748	2533
228	749	2524
229	751	2516
230	754	2510
231	761	2520
232	763	2511
233	764	2503
234	766	2494
235	767	2485
236	769	2477
237	773	2476
238	779	2481
239	781	2474
240	784	2470
241	786	2463
242	788	2455
243	789	2446
244	792	2441
245	793	2433
246	795	2424
247	800	2427
248	802	2419
249	803	2410
250	805	2402
251	806	2394
252	808	2385
253	809	2377
254	810	2369
255	854	2483
256	872	2523
257	875	2517
258	881	2522
259	885	2519
260	889	2519
261	895	2521
262	897	2515
263	900	2509
264	902	2502
265	954	2633
266	956	2625
267	967	2641
268	974	2647
269	976	2640
270	982	2642
271	991	2652
272	994	2647
273	997	2642
274	1003	2646
275	1060	2781
276	1063	2776
277	1066	2770
278	1069	2763
279	1071	2754
280	1072	2745
281	1074	2735
282	1079	2735
283	1128	2846
284	1132	2839
285	1134	2832
286	1160	2883
287	1162	2874
288	1170	2878
289	1172	2870
290	1176	2865
291	1178	2856
292	1188	2868
293	1192	2863
294	1198	2865
295	1201	2857
296	1203	2849
297	1224	2884
298	1230	2883
299	1231	2874
300	1254	2913
301	1262	2917
302	1264	2909
303	1284	2940
304	1303	2970
305	1320	2995
306	1330	3004
307	1334	2998
308	1336	2989
309	1357	3022
310	1361	3016
311	1363	3007
312	1365	2998
313	1368	2988
314	1373	2986
315	1391	3012
316	1394	3005
317	1396	2995
318	1399	2988
319	1408	2992
320	1419	3001
321	1421	2993
322	1424	2985
323	1426	2975
324	1430	2971
325	1432	2961
326	1434	2952
327	1437	2945
328	1440	2937
329	1445	2934
330	1447	2925
331	1449	2915
332	1451	2906
333	1453	2899
334	1455	2889
335	1460	2886
336	1462	2876
337	1463	2867
338	1466	2859
339	1468	2851
340	1473	2847
341	1475	2839
342	1477	2830
343	1481	2824
344	1483	2816
345	1495	2826
346	1502	2828
347	1504	2819
348	1506	2810
349	1511	2807
350	1518	2807
351	1528	2814
352	1534	2812
353	1536	2803
354	1539	2796
355	1541	2787
356	1545	2783
357	1547	2775
358	1549	2766
359	1551	2757
360	1553	2749
361	1554	2740
362	1556	2731
363	1561	2727
364	1563	2719
365	1564	2710
366	1567	2703
367	1569	2695
368	1571	2687
369	1575	2683
370	1580	2679
371	1582	2672
372	1585	2664
373	1586	2656
374	1599	2666
375	1601	2658
376	1607	2655
377	1609	2647
378	1611	2640
379	1613	2632
380	1614	2623
381	1616	2615
382	1617	2606
383	1620	2599
384	1622	2591
385	1623	2582
386	1624	2573
387	1626	2565
388	1627	2556
389	1629	2548
390	1630	2539
391	1634	2535
392	1636	2527
393	1637	2519
394	1639	2510
395	1640	2501
396	1641	2492
397	1642	2483
398	1643	2475
399	1644	2466
400	1645	2457
401	1648	2452
402	1650	2445
403	1652	2437
404	1654	2431
405	1656	2424
406	1658	2415
407	1659	2407
408	1661	2400
409	1663	2393
410	1664	2385
411	1666	2377
412	1667	2369
413	1668	2362
414	1670	2354
415	1671	2346
416	1672	2338
417	1673	2330
418	1677	2326
419	1678	2318
420	1680	2310
421	1681	2303
422	1682	2295
423	1683	2287
424	1685	2280
425	1686	2272
426	1687	2264
427	1689	2257
428	1692	2252
429	1694	2245
430	1695	2238
431	1697	2231
432	1698	2224
433	1700	2217
434	1701	2209
435	1703	2203
436	1707	2200
437	1709	2193
438	1710	2186
439	1712	2179
440	1713	2172
441	1715	2165
442	1717	2159
443	1721	2155
444	1723	2149
445	1724	2142
446	1726	2136
447	1727	2128
448	1730	2123
449	1737	2123
450	1739	2117
451	1741	2110
452	1742	2104
453	1743	2097
454	1745	2090
455	1747	2084
456	1749	2078
457	1750	2071
458	1751	2064
459	1752	2056
460	1753	2050
461	1754	2043
462	1755	2036
463	1756	2029
464	1757	2022
465	1760	2017
466	1761	2010
467	1762	2004
468	1764	1997
469	1765	1990
470	1766	1983
471	1767	1976
472	1768	1970
473	1770	1964
474	1771	1958
475	1775	1954
476	1776	1948
477	1778	1941
478	1779	1935
479	1780	1929
480	1782	1923
481	1783	1917
482	1785	1911
483	1790	1908
484	1792	1902
485	1793	1897
486	1795	1891
487	1796	1885
488	1798	1879
489	1799	1873
490	1801	1867
491	1804	1863
492	1806	1857
493	1807	1851
494	1809	1846
495	1811	1840
496	1812	1834
497	1813	1828
498	1815	1822
499	1819	1819
500	1820	1813
501	1822	1807
502	1824	1802
503	1826	1797
504	1827	1791
505	1829	1786
506	1834	1783
507	1835	1778
